Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)",Overall_Cluster
L269_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L270_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L271_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L272_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L273_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L274_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L275_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L276_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L277_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L278_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L279_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L280_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L281_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L282_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L283_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L284_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L285_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L286_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L287_S5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L288_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L289_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L290_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L291_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L292_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L293_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L294_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L295_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L296_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L297_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L298_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L299_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L300_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L322_S5,0,2,4,2,2,1,3,4,1,2,1,2,2,2,4,4
L323_S5,0,2,4,2,2,1,1,4,1,2,1,2,2,2,4,4
L324_S5,0,3,3,3,1,3,5,3,2,3,5,5,5,5,1,2
L325_S5,2,1,2,1,3,2,4,2,3,1,2,1,1,1,2,1
L326_S5,0,3,3,3,1,3,2,3,4,3,3,3,3,3,3,2
L327_S5,0,2,4,2,2,1,3,3,1,2,1,2,2,2,1,4
L328_S5,3,5,1,4,4,1,1,4,1,2,1,2,2,2,4,4
L329_S5,3,5,1,4,4,5,1,4,5,4,4,4,4,4,5,3
L330_S5,3,2,4,2,2,1,3,4,1,2,1,2,2,2,4,4
L331_S5,2,1,2,5,5,4,2,3,4,5,3,3,3,3,3,3
L332_S5,2,1,2,5,5,4,2,3,4,5,3,3,3,3,3,3
L333_S5,2,1,2,5,5,4,2,3,4,5,3,3,3,3,3,3
L334_S5,2,1,2,5,5,4,2,2,4,5,3,3,3,3,3,3
L335_S5,2,1,2,5,5,4,2,2,4,5,3,3,3,3,3,3
L336_S5,0,3,3,3,1,3,2,2,4,5,3,3,3,3,3,2
L337_S5,0,3,3,3,1,3,5,3,2,3,5,5,5,5,1,2
L338_S5,3,2,4,2,2,1,3,3,1,2,1,2,2,2,1,4
L339_S5,0,2,4,2,2,1,3,3,1,2,1,2,2,2,1,4
L340_S5,0,2,4,2,2,3,5,3,2,3,5,5,5,5,1,2
L341_S5,2,1,2,5,5,4,2,2,4,5,3,3,3,3,2,3
L342_S5,2,1,2,1,3,2,4,2,3,1,2,1,1,1,0,1
L343_S5,2,3,3,3,1,3,2,3,4,5,3,3,3,3,3,2
L344_S5,0,3,3,3,1,3,2,2,4,5,3,3,3,3,2,2
L345_S5,2,1,2,5,5,4,2,2,3,1,2,1,1,1,2,1
L346_S5,2,1,2,1,3,2,4,5,3,1,2,1,0,1,0,1
L347_S5,2,1,2,5,5,4,2,2,3,1,2,1,1,1,2,1
L348_S5,2,1,2,5,5,4,2,2,4,5,3,3,3,3,3,3
L349_S5,0,3,3,3,1,3,2,3,2,3,3,5,5,5,3,2
L350_S5,4,4,5,1,3,2,4,2,3,1,2,1,1,1,2,1
L351_S5,2,1,2,1,3,2,4,2,3,1,2,1,1,1,2,1
L352_S5,4,4,5,1,0,0,0,5,0,0,0,0,0,0,0,0
L353_S5,0,2,4,2,2,3,5,3,1,2,1,2,2,2,1,4
L354_S5,0,3,3,3,1,3,5,3,2,3,5,5,5,5,3,2
L355_S5,2,1,2,1,3,2,4,2,3,1,2,1,1,1,2,1
L356_S5,2,1,2,5,5,4,2,2,4,5,3,3,3,3,2,3
L357_S5,2,1,2,5,5,4,2,2,4,5,3,3,3,3,3,3
